LED,OLED,QLED,UHD,ULED,X4K,brand,current_price,description,id,inch,name,old_price
0,0,0,0,0,0,MSI,1400.0,"Curved Gaming, 1800R144 Hz Refresh Rate1ms Fast Response TimeGaming OSD + Adjustable Fan StandFrameless Monitor Design85% NTSC, 110% sRGB",MSI-MAG27C,27.0,MSI 27-Inch Curved Gaming Monitor Optix MAG27C,
1,0,0,0,0,0,PSN,989.0,,PSN-TH32F400K,32.0,Panasonic 32-Inch Viera LED TV TH-32F400K,1069.0
1,0,0,0,0,0,PSN,1508.0,Hexa Chroma DriveHexa Boost IPS LEDAdaptive Backlight Dimming 2 HDMI Terminals1 USB Terminals,PSN-TH40F400K,40.0,Panasonic 40-inch LED TV PSN-TH40F400K,1602.0
0,0,0,0,0,0,PSN,1560.0,Natural 6-Colour ReproductioonHexa Chroma Drive ColourIPS LED Super Bright Plus PanelAdaptive Backlight Dimming200Hz Backlight Motion Rate,PSN-TH43E410K,43.0,Panasonic 43-Inch Full HD TV TH-43E410K,1935.0
0,0,0,1,0,1,PSN,3999.0,Hexa Chroma Drive ProIPS Super Bright Panel PlusLocal Dimming,PSN-TH49FX700K,49.0,"Panasonic 49"" 4K Pro Ultra HD Smart TV PSN-TH49FX700K",5095.0
1,0,0,0,0,0,PSN,1915.0,,PSN-TH49E410K,49.0,Panasonic 49-inch Full HD LED TV PSN-TH49E410K,2649.0
0,0,0,1,0,1,PSN,4599.0,Hexa Chroma Drive ProIPS Super Bright Panel PlusLocal Dimming,PSN-TH55FX700K,55.0,"Panasonic 55"" 4K Pro Ultra HD Smart TV PSN-TH55FX700K",6009.0
0,0,0,1,0,1,PSN,3199.0,Hexa Chroma DriveMulti HDR SupportIPS LED Super Bright PanelDynamic Scene OptimiserSwitch Design,PSN-TH55FX600K,55.0,Panasonic TH-55FX600K 55-inch 4K Ultra HD Smart TV,4479.0
0,1,0,1,0,1,PSN,9599.0,OLED TVHexa Chroma Drive ProTuned in HollywoodMulti HDR Support,PSN-TH55FZ950K,55.0,Panasonic TH-55FZ950K 55-inch OLED 4K Pro Ultra HD Smart TV,11879.0
0,0,0,1,0,1,PSN,4899.0,Hexa Chroma DriveMulti HDR SupportSuper Bright PanelDynamic Scene OptimiserSwitch Design,PSN-TH65FX600K,65.0,Panasonic TH-65FX600K 65-inch 4K Ultra HD Smart TV,6725.0
0,1,0,1,0,1,PSN,13999.0,4K ULTRA HD OLEDHexa Chroma Drive ProTuned in HollywoodMulti HDR Support,PSN-TH65FZ950K,65.0,Panasonic TH-65FZ950K 65-inch OLED 4K Pro Ultra HD Smart TV,15999.0
0,0,0,1,0,1,PSN,12888.0,Hexa Chroma Drive ProMulti HDR SupportSuper Bright Panel PlusLocal Dimming Pro,PSN-TH75FX750K,75.0,Panasonic TH-75FX750K 75-inch 4K Pro Ultra HD Smart TV,15093.0
1,0,0,0,0,0,PEN,442.0,"Screen size: 24"" (16:9 format)Max. resolution: 1366 x 768Viewing angle: H:176° V:176°Contrast ratio: 1200:1Brightness: 180cd/m²Response time: 6.5msInput: HDMI/VGA/RF/USB/YPBPR/AVPower consumption: 35W",PEN-PLED2410,24.0,Pensonic 24-inch LED TV PEN-PLED2410,
1,0,0,0,0,0,PLP,699.0,"80 cm (32"")Digital Crystal ClearSlim",PLP-32PHT4002,32.0,Philips 32PHT4002/98 32-inch | 4000 Series | Slim LED TV PLP-32PHT4002,799.0
1,0,0,0,0,0,PLP,1099.0,PC InputDigital Crystal ClearEasyLink,PLP-40PFT4022S,40.0,Philips 40-inch Full HD Ultra Slim LED TV PLP-40PFT4022S,1697.0
1,0,0,0,0,0,PLP,1149.0,"With Digital Crystal Clear108 cm (43"")Full HD LED TVDVB-T/T2",PLP-43PFT4002,,Philips 43PFT4002S/98 Full HD Ultra Slim LED TV PLP-43PFT4002,1499.0
0,0,0,0,0,1,PLP,1999.0,50-inch 4K Ultra HD LEDSound Enhancement: Virtual SurroundSmart TV Applications,PLP-50PUT6002,50.0,Philips 50-inch 4K Ultra Slim Smart TV PLP-50PUT6002,2829.0
0,0,0,0,0,0,SAM,849.0,Vibrant colours with true detailsClean ViewWide Colour Enhancer,SAM-UA32N4000,32.0,Samsung 32-inch N4000 HD TV UA32N4000AKXXM,1036.0
0,0,0,0,0,0,SAM,1099.0,"Full HD Picture QualityWide Colour EnhancerConnect Share MovieClean View , Less Noise and Less Interference",SAM-UA40N5000,40.0,Samsung 40-Inch N5000 Full HD TV UA40N5000AKXXM,1602.0
0,0,0,0,0,0,SAM,1499.0,"Full HD Picture QualityWide Colour EnhancerConnect Share MovieClean View , Less Noise and Less Interference",SAM-UA49N5000,49.0,Samsung 49-Inch N5000 Full HD TV UA49N5000AKXXM,1899.0
0,0,0,1,0,1,SAM,1949.0,UHD ResolutionHDRContent Sync & Share7 Series,SAM-UA49NU7100,49.0,Samsung 49-inch NU7100 Smart 4K UHD TV SAM-UA49NU7100,2299.0
0,0,0,1,0,1,SAM,2499.0,UHD ResolutionHDRContent Sync & Share7 Series,SAM-UA55NU7100,55.0,Samsung 55-inch NU7100 Smart 4K UHD TV UA55NU7100,2999.0
0,0,0,1,0,1,SAM,2759.0,UHD ResolutionHDRCurvedContent Sync & Share,SAM-UA55NU7300,55.0,Samsung 55-inch NU7300 Curved Smart 4K UHD TV UA55NU7300,3299.0
0,0,0,1,0,1,SAM,4339.0,HDR EliteDynamic Crystal Colour360° DesignOne Remote Control,SAM-UA55NU8000,55.0,Samsung 55-inch NU8000 Smart 4K Premium UHD TV UA55NU8000,5659.0
0,0,1,0,0,1,SAM,5499.0,Q ColourQ ContrastQ HDR Elite (HDR 10+),SAM-QA55Q6FNA,55.0,Samsung 55-inch Q6F 4K Smart QLED TV QA55Q6FNAKXXM,6999.0
0,0,1,0,0,1,SAM,6969.0,Q ColourQ ContrastQ HDR Elite (HDR 10+)One Invisible ConnectionOne Remote Control,SAM-QA55Q7FNA,55.0,Samsung 55-inch Q7F 4K Smart QLED TV QA55Q7FNA,8489.0
0,0,1,0,0,1,SAM,12999.0,Q SeriesQ ColourQ ContrastQ HDR Elite (HDR 10+)One Invisible ConnectionCurved Screen,SAM-QA65Q8CNA,65.0,Samsung 65-inch Q8C 4K Curved Smart QLED TV SAM-QA65Q8CNA,16980.0
0,0,1,0,0,1,SAM,15099.0,Q ColourQ ContrastQ HDR Elite (HDR 10+)One Invisible ConnectionOne Remote Control,SAM-QA65Q9FNA,65.0,Samsung 65-inch Q9F 4K Smart QLED TV SAM-QA65Q9FNA,18866.0
0,0,0,1,0,1,SAM,4799.0,Real 4K ResolutionHDR10+Clean Cable Solution,SAM-UA65NU7400,65.0,Samsung 65inch Smart 4K UHD TV UA65NU7400,5499.0
0,0,0,1,0,1,SAM,9299.0,"HDR10+, Samsung’s Dynamic Crystal Colour technology and a 200Hz refresh rate for amazing clarityBuilt-in wireless streaming, USB playback, and Samsung’s new Smart Things appConnect to your wireless network via Smart Things and automatically sign in to Netflix, Spotify and more. When TV is Off, low-power Ambient Mode, which can replicate the wall behind your TV and blend into its surroundings",SAM-UA75NU8000,75.0,Samsung 75-Inch Premium Ultra HD 4K Smart TV NU8000 Series 8 UA75NU8000KXXS,12999.0
0,0,1,0,0,1,SAM,28999.0,Q Contrast EliteQ HDR Elite (HDR 10+)One Invisible ConnectionOne Remote Control,SAM-QA75Q9FNA,75.0,Samsung 75-inch Q9F 4K Smart QLED TV QA75Q9FNAKXXM ,34904.0
0,0,1,0,0,1,SAM,7619.0,Q HDR Elite (HDR 10+)One Invisible ConnectionCurved ScreenQ Series,SAM-QA55Q8CNA,55.0,Samsung QA55Q8CNAKXXM 55-inch Q8C 4K Curved Smart QLED TV SAM-QA55Q8CNA,9799.0
0,0,0,1,0,1,SAM,1699.0,UHD ResolutionHDRContent Sync & Share7 Series,SAM-UA43NU7100,43.0,Samsung UA43NU7100KXXM 43-inch NU7100 Smart 4K UHD TV SAM-UA43NU7100,2099.0
0,0,0,1,0,1,SAM,2149.0,Real 4K ResolutionHDR10+Clean Cable Solution,SAM-UA49NU7300,49.0,Samsung UA49NU7300KXXM 49-inch NU7300 Curved Smart 4K UHD TV,2499.0
0,0,0,1,0,1,SAM,2299.0,Dynamic Crystal ColourUHD ResolutionOne Remote Control7 Series,SAM-UA50NU7400,50.0,Samsung UA50NU7400KXXM 50-inch NU7400 Smart 4K UHD TV,2599.0
0,0,0,1,0,1,SAM,2999.0,Dynamic Crystal ColourUHD ResolutionOne Remote Control7 Series,SAM-UA55NU7400,55.0,Samsung UA55NU7400K 55-inch NU7400 Smart 4K UHD TV,3399.0
0,0,0,1,0,1,SAM,3849.0,Real 4K ResolutionHDR10+Clean Cable Solution,SAM-UA65NU7100,65.0,Samsung UA65NU7100KXXM 65-inch NU7100 Smart 4K UHD TV,4599.0
0,0,0,1,0,1,SAM,4149.0,Click HERE for redemption of free gift and follow the instructions indicated.,SAM-UA65NU7300,65.0,Samsung UA65NU7300KXXM 65-inch NU7300 Curved | Smart 4K | UHD TV,4999.0
0,0,0,1,0,1,SAM,8019.0,HDR EliteDynamic Crystal ColourCurvedOne Remote Control,SAM-UA65NU8500,65.0,Samsung UA65NU8500KXXM 65-inch NU8500 Curved Smart 4K Premium UHD TV,9433.0
0,0,0,1,0,1,SAM,16199.0,One Billion ColourOne Master Remote ControlGet Your Best Game On,SAM-UA82NU8000,82.0,Samsung UA82NU8000KXXM 82-inch NU8000 Smart 4K Premium UHD TV,21697.0
